Date,Price,Open,High,Low,Volume,Change(%)
4-Aug-23,235.65,237,237.35,234.5,7710303,0.08%
3-Aug-23,235.45,235.25,237.6,232.55,10784942,-0.13%
2-Aug-23,235.75,244.7,244.7,233.3,22636262,-3.54%
1-Aug-23,244.4,237.4,245.4,236.25,27535144,3.25%
31-Jul-23,236.7,236.55,238.9,235.2,18682254,0.87%
28-Jul-23,234.65,220.9,237.2,220,57651036,6.22%
27-Jul-23,220.9,222.25,222.55,220.5,7845672,-0.27%
26-Jul-23,221.5,220.4,222.4,219.8,8511027,0.93%
25-Jul-23,219.45,217.5,220.5,217.5,7602866,0.97%
24-Jul-23,217.35,218.25,218.75,216.8,4387406,-0.02%
21-Jul-23,217.4,218.15,219.2,216.75,5715378,-0.34%
20-Jul-23,218.15,219.8,220.65,217.75,6910107,-0.62%
19-Jul-23,219.5,221.4,221.4,217.5,14481130,-0.90%
18-Jul-23,221.5,224.2,224.3,220.75,6695221,-0.89%
17-Jul-23,223.5,221.95,224.7,221.25,7071156,1.11%
14-Jul-23,221.05,222.75,222.75,218.55,10191602,-0.36%
13-Jul-23,221.85,227,227.2,220.9,9389403,-1.97%
12-Jul-23,226.3,226.25,227.25,225.2,7366992,0.35%
11-Jul-23,225.5,226,226.85,224.7,5156417,0.22%
10-Jul-23,225,229.25,229.25,224.65,7143637,-1.32%
7-Jul-23,228,229.8,232.35,226.1,16592198,-0.70%
6-Jul-23,229.6,225,230.3,223.55,30885511,3.56%
5-Jul-23,221.7,220.95,223.75,220.55,5879342,0.48%
4-Jul-23,220.65,222.1,223.3,220.2,4598056,-0.56%
3-Jul-23,221.9,222.9,224.2,221.6,5792956,0.02%
30-Jun-23,221.85,219.7,222.5,218.85,9940002,1.74%
28-Jun-23,218.05,219.95,220.95,217.55,8345362,-0.55%
27-Jun-23,219.25,218.9,220.5,218.6,4694432,0.30%
26-Jun-23,218.6,218.3,219.35,216.3,5136478,0.14%
23-Jun-23,218.3,222,222.1,215.7,10890426,-1.27%
22-Jun-23,221.1,224.85,225.15,220.5,6857007,-1.43%
21-Jun-23,224.3,225.25,226,222.6,6987933,-0.29%
20-Jun-23,224.95,223.1,226.35,222.6,11221842,0.81%
19-Jun-23,223.15,223,224.15,221,7473608,0.40%
16-Jun-23,222.25,221.9,223.7,220.9,7136739,0.75%
15-Jun-23,220.6,224.4,224.65,220.15,7665159,-1.58%
14-Jun-23,224.15,222.5,225.25,221.55,10509540,1.06%
13-Jun-23,221.8,221.5,222.8,220.85,6249947,0.38%
12-Jun-23,220.95,221.95,223.55,220.35,6342344,-0.11%
9-Jun-23,221.2,224.6,224.6,220.2,11045069,0.25%
8-Jun-23,220.65,218.95,226.2,218.45,31056302,1.01%
7-Jun-23,218.45,216.6,219.65,214.1,11387499,0.78%
6-Jun-23,216.75,219.8,219.8,215.55,8301040,-1.05%
5-Jun-23,219.05,217,219.4,216.15,8688870,1.58%
2-Jun-23,215.65,216.4,216.9,215,4908437,0.16%
1-Jun-23,215.3,213.95,217,213,6324964,0.82%
31-May-23,213.55,216.9,219,212.9,11299432,-1.54%
30-May-23,216.9,218,218.45,215,11975300,-0.05%
29-May-23,217,213,217.7,211.7,12956419,2.26%
26-May-23,212.2,212.25,213.8,210.65,8476048,0.66%
25-May-23,210.8,207.2,211.2,206.55,8705559,1.76%
24-May-23,207.15,206.65,208,205.55,5447203,0.12%
23-May-23,206.9,206.5,207.45,205.5,5017652,0.34%
22-May-23,206.2,206,206.9,204.1,5577418,0.17%
19-May-23,205.85,206.3,206.5,201.8,9002705,0.61%
18-May-23,204.6,209,209.7,204.1,8248339,-1.52%
17-May-23,207.75,212.4,212.4,206.85,9107799,-1.70%
16-May-23,211.35,208.85,215,208.2,18196503,1.54%
15-May-23,208.15,207.65,209.4,206.45,6740655,0.53%
12-May-23,207.05,206.85,207.8,206.15,7304524,0.36%
11-May-23,206.3,204.5,207.2,204.15,8986218,1.05%
10-May-23,204.15,203.5,204.45,202.2,5026713,0.42%
9-May-23,203.3,203.75,205.1,202.4,7956883,0.30%
8-May-23,202.7,201.5,203.2,199.5,7724617,1.27%
5-May-23,200.15,203.9,205.6,199.4,16337389,-1.82%
4-May-23,203.85,203.9,204.55,202.1,8211667,0.02%
3-May-23,203.8,201.8,204.25,200.45,8641713,1.02%
2-May-23,201.75,201.95,202.95,200.4,6881245,0.32%
28-Apr-23,201.1,199.5,201.55,199,7951645,1.31%
27-Apr-23,198.5,198.45,199.95,197.65,5215692,0.15%
26-Apr-23,198.2,197.65,198.95,196.15,4910837,0.28%
25-Apr-23,197.65,195.85,198.8,195.35,5957551,0.92%
24-Apr-23,195.85,196.5,196.7,194.8,5017631,0.08%
21-Apr-23,195.7,196.95,196.95,194.5,4015567,-0.36%
20-Apr-23,196.4,193.55,196.8,193.45,6086016,1.52%
19-Apr-23,193.45,197.55,197.75,193.05,6753761,-1.93%
18-Apr-23,197.25,197.5,198.2,196.15,4249222,0.15%
17-Apr-23,196.95,196.3,197.6,194.8,4756452,0.33%
13-Apr-23,196.3,197.2,197.2,194.25,6448150,-0.41%
12-Apr-23,197.1,198,198.6,195.55,8183550,-0.23%
11-Apr-23,197.55,197,197.9,195.8,4957133,0.95%
